Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,manufacture_year_copy,manufacture_date
BMW,X3,2.0,Petrol,2010,93752,16022,2010,2010-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2011,38945,31055,2011,2011-01-01 00:00:00
Ford,Focus,2.0,Diesel,2017,15111,38031,2017,2017-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2012,64561,9417,2012,2012-01-01 00:00:00
VW,Golf,1.8,Petrol,2008,121367,7848,2008,2008-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,1990,100509,1959,1990,1990-01-01 00:00:00
VW,Passat,1.6,Diesel,1997,145828,3832,1997,1997-01-01 00:00:00
VW,Golf,1.4,Petrol,2010,50003,13035,2010,2010-01-01 00:00:00
VW,Golf,1.8,Petrol,2010,13610,18246,2010,2010-01-01 00:00:00
Ford,Focus,1.6,Petrol,1990,215760,1200,1990,1990-01-01 00:00:00
VW,Passat,1.4,Diesel,2009,85517,12611,2009,2009-01-01 00:00:00
VW,Golf,1.8,Diesel,2019,20551,33618,2019,2019-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1998,130171,3199,1998,1998-01-01 00:00:00
VW,Polo,1.2,Petrol,1994,120116,2144,1994,1994-01-01 00:00:00
Ford,Focus,1.4,Hybrid,2000,194138,3178,2000,2000-01-01 00:00:00
BMW,M5,4.0,Petrol,2021,5942,139668,2021,2021-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2016,29838,50077,2016,2016-01-01 00:00:00
Porsche,911,2.2,Petrol,1998,117691,12842,1998,1998-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2009,51241,9198,2009,2009-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2009,114164,10979,2009,2009-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2002,141226,4973,2002,2002-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2003,111704,11665,2003,2003-01-01 00:00:00
Porsche,911,3.0,Petrol,2020,13932,128366,2020,2020-01-01 00:00:00
VW,Golf,1.6,Petrol,1993,215360,1235,1993,1993-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1991,169741,1236,1991,1991-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2005,41313,19470,2005,2005-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2005,109734,5083,2005,2005-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2013,34149,14385,2013,2013-01-01 00:00:00
VW,Passat,1.8,Diesel,1995,175397,2781,1995,1995-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2017,70825,26899,2017,2017-01-01 00:00:00
VW,Golf,1.4,Petrol,2008,46793,11637,2008,2008-01-01 00:00:00
VW,Polo,1.2,Petrol,2016,52031,14980,2016,2016-01-01 00:00:00
Ford,Mondeo,1.8,Hybrid,1996,156529,3768,1996,1996-01-01 00:00:00
Toyota,Yaris,1.2,Hybrid,2017,13945,27054,2017,2017-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2007,156258,11179,2007,2007-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2014,46348,29274,2014,2014-01-01 00:00:00
BMW,Z4,2.0,Petrol,1993,171825,2655,1993,1993-01-01 00:00:00
Ford,Focus,1.4,Diesel,1998,157703,3320,1998,1998-01-01 00:00:00
Ford,Focus,2.0,Diesel,2005,111418,9133,2005,2005-01-01 00:00:00
BMW,X3,3.0,Diesel,2018,35591,51415,2018,2018-01-01 00:00:00
VW,Passat,1.6,Diesel,1994,239463,1389,1994,1994-01-01 00:00:00
VW,Polo,1.6,Diesel,2021,11746,32004,2021,2021-01-01 00:00:00
Ford,Focus,1.6,Petrol,1987,213563,1002,1987,1987-01-01 00:00:00
Ford,Fiesta,1.0,Hybrid,2005,156279,3569,2005,2005-01-01 00:00:00
VW,Passat,1.6,Diesel,1987,130720,2220,1987,1987-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2013,58233,22416,2013,2013-01-01 00:00:00
BMW,M5,4.4,Petrol,2011,89361,45012,2011,2011-01-01 00:00:00
BMW,Z4,2.0,Petrol,1994,125311,4145,1994,1994-01-01 00:00:00
VW,Polo,1.4,Petrol,2007,76103,7585,2007,2007-01-01 00:00:00
VW,Passat,2.0,Diesel,2017,68770,28811,2017,2017-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1987,113921,1483,1987,1987-01-01 00:00:00
VW,Golf,1.4,Petrol,2005,97511,6775,2005,2005-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2015,71351,23458,2015,2015-01-01 00:00:00
Ford,Focus,2.0,Diesel,2011,71093,18164,2011,2011-01-01 00:00:00
VW,Passat,1.4,Diesel,1999,161124,3611,1999,1999-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1988,234460,922,1988,1988-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,1985,179965,2491,1985,1985-01-01 00:00:00
VW,Polo,1.4,Petrol,1989,222966,696,1989,1989-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2018,23804,21300,2018,2018-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2018,21915,44087,2018,2018-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2001,73135,5418,2001,2001-01-01 00:00:00
Ford,Focus,2.0,Petrol,1999,115374,5659,1999,1999-01-01 00:00:00
VW,Passat,1.6,Diesel,2006,115697,8850,2006,2006-01-01 00:00:00
VW,Golf,1.8,Petrol,2002,108600,5796,2002,2002-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2002,43367,17406,2002,2002-01-01 00:00:00
Toyota,RAV4,2.2,Petrol,2015,65235,30051,2015,2015-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2015,63166,13734,2015,2015-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2022,2156,26374,2022,2022-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1995,132185,5285,1995,1995-01-01 00:00:00
Ford,Focus,1.0,Diesel,2018,27747,26805,2018,2018-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2017,46661,31418,2017,2017-01-01 00:00:00
Toyota,Yaris,1.2,Hybrid,1990,170845,1474,1990,1990-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2005,86652,5081,2005,2005-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2000,236880,1901,2000,2000-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2019,19029,47882,2019,2019-01-01 00:00:00
BMW,Z4,2.4,Petrol,1997,179577,3554,1997,1997-01-01 00:00:00
BMW,X3,3.0,Diesel,2009,75307,21929,2009,2009-01-01 00:00:00
VW,Passat,2.0,Diesel,2008,27318,20424,2008,2008-01-01 00:00:00
Toyota,RAV4,2.2,Petrol,1999,195322,3750,1999,1999-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1991,180972,2301,1991,1991-01-01 00:00:00
Ford,Focus,2.0,Petrol,1995,149619,3307,1995,1995-01-01 00:00:00
BMW,X3,2.4,Diesel,2010,28828,28057,2010,2010-01-01 00:00:00
VW,Golf,1.6,Diesel,2010,108340,9800,2010,2010-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2008,99124,18667,2008,2008-01-01 00:00:00
VW,Polo,1.0,Petrol,2009,120971,5285,2009,2009-01-01 00:00:00
VW,Golf,1.4,Petrol,2003,127439,4731,2003,2003-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2020,14741,25577,2020,2020-01-01 00:00:00
VW,Golf,1.6,Petrol,2011,75345,12629,2011,2011-01-01 00:00:00
Toyota,RAV4,1.8,Petrol,1997,177968,3450,1997,1997-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1991,101140,1972,1991,1991-01-01 00:00:00
Ford,Focus,1.4,Petrol,2020,6515,38729,2020,2020-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2017,52503,14201,2017,2017-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2003,155563,2618,2003,2003-01-01 00:00:00
Ford,Focus,2.0,Diesel,2004,57712,12435,2004,2004-01-01 00:00:00
Ford,Mondeo,1.4,Petrol,2011,80171,13482,2011,2011-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2020,15911,45911,2020,2020-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2017,45584,42224,2017,2017-01-01 00:00:00
VW,Polo,1.0,Petrol,2008,109619,5390,2008,2008-01-01 00:00:00
Ford,Fiesta,1.0,Diesel,2002,179510,2102,2002,2002-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2010,60400,13922,2010,2010-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1997,195440,3559,1997,1997-01-01 00:00:00
VW,Golf,2.0,Petrol,2016,16537,28244,2016,2016-01-01 00:00:00
VW,Golf,2.0,Diesel,2004,99523,7839,2004,2004-01-01 00:00:00
BMW,Z4,2.4,Petrol,2018,36043,41601,2018,2018-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2015,36047,43262,2015,2015-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2016,22467,28671,2016,2016-01-01 00:00:00
VW,Golf,1.4,Diesel,1987,74866,2512,1987,1987-01-01 00:00:00
BMW,X3,2.4,Diesel,1989,219248,1621,1989,1989-01-01 00:00:00
VW,Passat,1.6,Diesel,2004,148413,5983,2004,2004-01-01 00:00:00
BMW,Z4,2.0,Petrol,2008,121566,10853,2008,2008-01-01 00:00:00
VW,Golf,1.8,Hybrid,2011,56781,18167,2011,2011-01-01 00:00:00
BMW,Z4,2.4,Petrol,1992,203806,2062,1992,1992-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2007,116169,9993,2007,2007-01-01 00:00:00
BMW,X3,2.0,Diesel,1994,135416,4221,1994,1994-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1993,261064,1504,1993,1993-01-01 00:00:00
VW,Polo,1.6,Petrol,1998,88758,4075,1998,1998-01-01 00:00:00
VW,Golf,2.0,Petrol,1989,318196,405,1989,1989-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1994,127153,5143,1994,1994-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2009,70130,14180,2009,2009-01-01 00:00:00
VW,Passat,2.0,Diesel,2006,158950,7009,2006,2006-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1991,405205,246,1991,1991-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2017,38471,16950,2017,2017-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2005,108949,7805,2005,2005-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1993,318549,620,1993,1993-01-01 00:00:00
BMW,M5,4.0,Petrol,1999,62517,23152,1999,1999-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2009,126502,14813,2009,2009-01-01 00:00:00
BMW,M5,4.4,Petrol,2010,66953,49105,2010,2010-01-01 00:00:00
VW,Golf,1.2,Diesel,2015,23944,20631,2015,2015-01-01 00:00:00
VW,Passat,1.6,Diesel,1998,109194,5453,1998,1998-01-01 00:00:00
VW,Golf,1.2,Diesel,1988,280294,442,1988,1988-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2003,102439,8483,2003,2003-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2016,9964,19663,2016,2016-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2004,99998,8742,2004,2004-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,1996,263883,1719,1996,1996-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,1988,170580,1396,1988,1988-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,2017,24985,45787,2017,2017-01-01 00:00:00
VW,Passat,2.0,Diesel,1992,240634,1345,1992,1992-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,2018,29430,23890,2018,2018-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2010,9960,34180,2010,2010-01-01 00:00:00
VW,Golf,1.6,Diesel,2016,47655,22149,2016,2016-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2017,34489,18343,2017,2017-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2014,48980,39091,2014,2014-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2016,34826,42131,2016,2016-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2000,97921,6067,2000,2000-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2015,53898,24935,2015,2015-01-01 00:00:00
VW,Golf,1.8,Petrol,1985,120980,1698,1985,1985-01-01 00:00:00
VW,Golf,1.2,Petrol,1991,111639,2221,1991,1991-01-01 00:00:00
VW,Passat,1.4,Petrol,1991,142718,2346,1991,1991-01-01 00:00:00
VW,Golf,2.0,Petrol,2006,103968,8256,2006,2006-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2003,77607,9036,2003,2003-01-01 00:00:00
VW,Passat,2.0,Petrol,2006,144471,7517,2006,2006-01-01 00:00:00
Ford,Focus,1.6,Petrol,2007,93365,10152,2007,2007-01-01 00:00:00
BMW,Z4,2.4,Petrol,2002,103018,9166,2002,2002-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1991,298087,696,1991,1991-01-01 00:00:00
Ford,Focus,1.0,Diesel,1996,126372,3160,1996,1996-01-01 00:00:00
Ford,Mondeo,1.4,Hybrid,2001,172817,4045,2001,2001-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2021,5191,33757,2021,2021-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1995,149788,1610,1995,1995-01-01 00:00:00
VW,Golf,1.8,Petrol,1998,168097,2761,1998,1998-01-01 00:00:00
VW,Polo,1.4,Diesel,2017,40070,19543,2017,2017-01-01 00:00:00
Porsche,718 Cayman,2.4,Petrol,2005,137933,10351,2005,2005-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2019,16367,48581,2019,2019-01-01 00:00:00
BMW,Z4,3.0,Petrol,1999,182733,4419,1999,1999-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1994,224830,1908,1994,1994-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2007,44735,13818,2007,2007-01-01 00:00:00
Ford,Mondeo,2.0,Hybrid,1991,242102,1342,1991,1991-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1994,61219,3430,1994,1994-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2013,97627,13165,2013,2013-01-01 00:00:00
BMW,X3,3.0,Diesel,2011,84740,23478,2011,2011-01-01 00:00:00
Ford,Focus,1.8,Petrol,1990,172140,1863,1990,1990-01-01 00:00:00
VW,Passat,1.8,Diesel,2014,65293,22899,2014,2014-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1998,201856,1262,1998,1998-01-01 00:00:00
Ford,Focus,1.4,Petrol,2009,81100,11832,2009,2009-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2006,132344,12150,2006,2006-01-01 00:00:00
Ford,Focus,1.4,Diesel,2018,32401,30879,2018,2018-01-01 00:00:00
VW,Golf,1.2,Petrol,2003,132590,4206,2003,2003-01-01 00:00:00
VW,Passat,2.0,Diesel,2007,70087,14663,2007,2007-01-01 00:00:00
Ford,Focus,1.0,Diesel,2016,29607,23211,2016,2016-01-01 00:00:00
VW,Golf,2.0,Diesel,2020,14562,39133,2020,2020-01-01 00:00:00
VW,Golf,2.0,Diesel,2004,104520,7556,2004,2004-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2019,24968,19117,2019,2019-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1992,344755,450,1992,1992-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1998,198771,1534,1998,1998-01-01 00:00:00
Ford,Mondeo,1.4,Petrol,2006,81578,9567,2006,2006-01-01 00:00:00
BMW,Z4,2.0,Petrol,1986,46784,4216,1986,1986-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2006,129137,4581,2006,2006-01-01 00:00:00
Ford,Fiesta,1.4,Diesel,2010,51170,11156,2010,2010-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,1989,264616,698,1989,1989-01-01 00:00:00
VW,Passat,1.8,Diesel,2002,82580,9153,2002,2002-01-01 00:00:00
VW,Polo,1.0,Petrol,2019,24380,19685,2019,2019-01-01 00:00:00
VW,Golf,1.8,Diesel,1991,301201,543,1991,1991-01-01 00:00:00
VW,Golf,1.8,Hybrid,2014,38186,24884,2014,2014-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1989,193951,1417,1989,1989-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2008,45436,19733,2008,2008-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2013,84861,21256,2013,2013-01-01 00:00:00
Ford,Focus,1.4,Diesel,1992,124942,2896,1992,1992-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2011,147724,7825,2011,2011-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2009,89024,13204,2009,2009-01-01 00:00:00
Ford,Mondeo,1.8,Hybrid,1997,209209,2559,1997,1997-01-01 00:00:00
VW,Passat,1.8,Petrol,1999,208733,2585,1999,1999-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1993,147473,1699,1993,1993-01-01 00:00:00
Ford,Mondeo,1.8,Hybrid,2009,138755,10359,2009,2009-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2002,115797,5997,2002,2002-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2019,41622,37017,2019,2019-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1991,225001,1559,1991,1991-01-01 00:00:00
VW,Golf,2.0,Petrol,1997,131969,3658,1997,1997-01-01 00:00:00
VW,Passat,1.4,Petrol,2014,30879,23789,2014,2014-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,1994,147756,2734,1994,1994-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2015,81853,30730,2015,2015-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2011,13927,21269,2011,2011-01-01 00:00:00
VW,Golf,1.2,Petrol,2018,35908,22406,2018,2018-01-01 00:00:00
Toyota,Yaris,1.2,Hybrid,1991,221161,1014,1991,1991-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2004,90297,8269,2004,2004-01-01 00:00:00
VW,Passat,1.4,Diesel,2000,98539,6305,2000,2000-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2013,47793,14207,2013,2013-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2010,55875,15560,2010,2010-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2015,24692,48236,2015,2015-01-01 00:00:00
VW,Golf,1.4,Petrol,2018,40131,23602,2018,2018-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2005,102002,14965,2005,2005-01-01 00:00:00
BMW,M5,4.4,Petrol,2001,211771,8547,2001,2001-01-01 00:00:00
VW,Golf,1.4,Diesel,2015,47295,19425,2015,2015-01-01 00:00:00
VW,Polo,1.0,Petrol,2018,25234,18328,2018,2018-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1994,71268,6574,1994,1994-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1995,206183,1382,1995,1995-01-01 00:00:00
BMW,M5,4.4,Petrol,2005,105484,26840,2005,2005-01-01 00:00:00
Ford,Focus,1.4,Petrol,2006,116052,7511,2006,2006-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1995,243383,1722,1995,1995-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1990,298119,581,1990,1990-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2016,48823,32943,2016,2016-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1994,231767,809,1994,1994-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,1994,63342,3382,1994,1994-01-01 00:00:00
Ford,Focus,1.4,Petrol,2020,14754,37085,2020,2020-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2015,42787,25181,2015,2015-01-01 00:00:00
Ford,Focus,1.4,Petrol,2007,128144,7313,2007,2007-01-01 00:00:00
VW,Polo,1.6,Petrol,2002,116599,4335,2002,2002-01-01 00:00:00
Porsche,718 Cayman,2.4,Petrol,2008,57734,22603,2008,2008-01-01 00:00:00
Toyota,RAV4,2.2,Petrol,1993,88950,5895,1993,1993-01-01 00:00:00
VW,Passat,2.0,Petrol,1996,181685,2827,1996,1996-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1999,96421,7698,1999,1999-01-01 00:00:00
BMW,X3,3.0,Diesel,2008,73384,20784,2008,2008-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2011,87938,22555,2011,2011-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2015,48899,22960,2015,2015-01-01 00:00:00
VW,Polo,1.6,Petrol,2004,151898,3744,2004,2004-01-01 00:00:00
VW,Golf,1.4,Petrol,2003,154162,3817,2003,2003-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2004,82779,10420,2004,2004-01-01 00:00:00
BMW,Z4,2.2,Petrol,1994,208004,2173,1994,1994-01-01 00:00:00
BMW,M5,4.0,Petrol,2010,108515,34918,2010,2010-01-01 00:00:00
BMW,X3,2.0,Diesel,1998,126499,5912,1998,1998-01-01 00:00:00
Ford,Focus,1.4,Petrol,2019,20236,33674,2019,2019-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2006,56319,6658,2006,2006-01-01 00:00:00
BMW,M5,4.0,Petrol,2019,21129,112716,2019,2019-01-01 00:00:00
VW,Passat,1.4,Diesel,2017,34560,29863,2017,2017-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1999,172031,3536,1999,1999-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,2018,30962,47305,2018,2018-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1989,275880,671,1989,1989-01-01 00:00:00
BMW,Z4,2.4,Petrol,1997,161979,4125,1997,1997-01-01 00:00:00
VW,Golf,1.6,Diesel,2011,14591,19206,2011,2011-01-01 00:00:00
VW,Polo,1.4,Petrol,1990,192860,973,1990,1990-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2011,89890,13224,2011,2011-01-01 00:00:00
Ford,Focus,1.6,Petrol,1993,274465,854,1993,1993-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2015,34004,15230,2015,2015-01-01 00:00:00
BMW,X3,2.4,Diesel,1990,243236,1393,1990,1990-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2011,115683,6127,2011,2011-01-01 00:00:00
VW,Golf,1.8,Diesel,2002,141522,4712,2002,2002-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1995,199118,2143,1995,1995-01-01 00:00:00
Ford,Focus,1.4,Petrol,2001,33550,9405,2001,2001-01-01 00:00:00
Ford,Focus,2.0,Petrol,2002,111015,7143,2002,2002-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2018,32433,30957,2018,2018-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2004,199166,2112,2004,2004-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,1999,189898,4719,1999,1999-01-01 00:00:00
VW,Golf,1.4,Petrol,1998,51684,5796,1998,1998-01-01 00:00:00
VW,Polo,1.4,Petrol,2014,40793,15172,2014,2014-01-01 00:00:00
Ford,Focus,1.0,Diesel,1993,158441,1998,1993,1993-01-01 00:00:00
VW,Passat,1.4,Diesel,2009,46244,16333,2009,2009-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,1985,151717,1972,1985,1985-01-01 00:00:00
VW,Golf,1.8,Hybrid,2015,81276,20149,2015,2015-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,1990,208142,1250,1990,1990-01-01 00:00:00
VW,Passat,1.6,Diesel,2005,84017,10435,2005,2005-01-01 00:00:00
VW,Passat,1.8,Diesel,1993,176169,2417,1993,1993-01-01 00:00:00
VW,Golf,1.8,Hybrid,2002,239485,2303,2002,2002-01-01 00:00:00
VW,Polo,1.2,Petrol,2017,55487,15667,2017,2017-01-01 00:00:00
Porsche,Cayenne,2.6,Petrol,2014,71262,38028,2014,2014-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2008,70838,14787,2008,2008-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,1991,251605,1076,1991,1991-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2002,103902,6635,2002,2002-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2007,69865,7708,2007,2007-01-01 00:00:00
Ford,Focus,1.0,Petrol,2020,12674,31692,2020,2020-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2018,36505,19800,2018,2018-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2017,30373,34615,2017,2017-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2008,119166,9887,2008,2008-01-01 00:00:00
Ford,Mondeo,1.6,Petrol,2015,32910,25430,2015,2015-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2003,108498,9196,2003,2003-01-01 00:00:00
Ford,Focus,2.0,Petrol,2005,78653,11016,2005,2005-01-01 00:00:00
VW,Golf,1.4,Petrol,1999,112427,4066,1999,1999-01-01 00:00:00
Ford,Mondeo,1.4,Hybrid,2015,47584,26142,2015,2015-01-01 00:00:00
VW,Polo,1.2,Petrol,2004,107672,4588,2004,2004-01-01 00:00:00
Porsche,Cayenne,3.5,Diesel,2007,159743,14864,2007,2007-01-01 00:00:00
VW,Passat,1.4,Diesel,2004,143428,5828,2004,2004-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,1994,245758,1953,1994,1994-01-01 00:00:00
Ford,Focus,1.8,Petrol,2006,179713,5076,2006,2006-01-01 00:00:00
VW,Golf,1.8,Petrol,2001,68242,7213,2001,2001-01-01 00:00:00
VW,Golf,1.8,Diesel,2011,26676,19058,2011,2011-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,1994,149452,2697,1994,1994-01-01 00:00:00
VW,Passat,2.0,Diesel,2017,44070,33723,2017,2017-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2016,57042,14140,2016,2016-01-01 00:00:00
VW,Golf,1.8,Petrol,2012,78320,14030,2012,2012-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2004,123936,10272,2004,2004-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2019,32590,32670,2019,2019-01-01 00:00:00
VW,Golf,1.8,Diesel,2008,91359,10299,2008,2008-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2021,11680,73963,2021,2021-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2010,46233,10142,2010,2010-01-01 00:00:00
BMW,Z4,2.4,Petrol,1998,55213,9751,1998,1998-01-01 00:00:00
BMW,M5,4.4,Petrol,2007,65983,40462,2007,2007-01-01 00:00:00
VW,Golf,1.4,Diesel,2009,58036,12171,2009,2009-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2020,26939,60679,2020,2020-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2002,164577,4599,2002,2002-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2002,169573,2386,2002,2002-01-01 00:00:00
BMW,Z4,2.4,Petrol,2001,106624,8349,2001,2001-01-01 00:00:00
Porsche,718 Cayman,4.0,Petrol,2002,139840,10775,2002,2002-01-01 00:00:00
Ford,Focus,1.4,Diesel,1993,199248,1667,1993,1993-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2008,80679,12347,2008,2008-01-01 00:00:00
Porsche,Cayenne,3.5,Petrol,2015,51657,53561,2015,2015-01-01 00:00:00
Ford,Mondeo,1.6,Hybrid,2019,23878,41948,2019,2019-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2018,54497,36328,2018,2018-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2004,144837,6530,2004,2004-01-01 00:00:00
